Province,Day,Min Price,Max Price,Avg Price,Avg Selling Price
Jawa Tengah,2023-04-01,5650.0000000000000000,5650.0000000000000000,5650.0000000000000000,5650.0
Jawa Tengah,2023-04-03,5650.0000000000000000,5800.0000000000000000,5700.0000000000000000,5697.83810143043
Jawa Tengah,2023-04-04,4850.0000000000000000,5650.0000000000000000,5250.0000000000000000,5195.368916797488
Jawa Tengah,2023-04-05,5800.0000000000000000,5800.0000000000000000,5800.0000000000000000,5800.0
Jawa Tengah,2023-04-06,5650.0000000000000000,5800.0000000000000000,5725.0000000000000000,5730.369718309859
Jawa Tengah,2023-04-08,5800.0000000000000000,5800.0000000000000000,5800.0000000000000000,5800.0
Jawa Tengah,2023-04-10,5700.0000000000000000,5800.0000000000000000,5766.6666666666666667,5800.0
Jawa Tengah,2023-04-11,5800.0000000000000000,5800.0000000000000000,5800.0000000000000000,5800.0
Jawa Tengah,2023-04-12,5700.0000000000000000,5800.0000000000000000,5733.3333333333333333,5714.477848101265
Jawa Tengah,2023-04-13,5700.0000000000000000,5800.0000000000000000,5733.3333333333333333,5739.403905447071
Jawa Tengah,2023-04-14,5700.0000000000000000,5800.0000000000000000,5720.0000000000000000,5718.742746615087
Jawa Tengah,2023-04-17,5700.0000000000000000,5800.0000000000000000,5780.0000000000000000,5788.667439165701
Jawa Tengah,2023-04-18,4850.0000000000000000,5700.0000000000000000,4991.6666666666666667,5019.387141998798
Jawa Tengah,2023-04-26,4850.0000000000000000,5800.0000000000000000,5483.3333333333333333,5478.776978417266
Jawa Tengah,2023-04-27,4850.0000000000000000,5800.0000000000000000,5540.9090909090909091,5543.433222345542
Jawa Tengah,2023-04-28,4850.0000000000000000,5800.0000000000000000,5483.3333333333333333,5436.29112662014
Jawa Tengah,2023-04-29,5800.0000000000000000,5850.0000000000000000,5803.5714285714285714,5803.521126760564
Jawa Tengah,2023-05-02,5800.0000000000000000,5850.0000000000000000,5811.5384615384615385,5810.753099647941
Jawa Tengah,2023-05-03,5800.0000000000000000,5850.0000000000000000,5806.6666666666666667,5806.730241492865
Jawa Tengah,2023-05-04,5800.0000000000000000,5975.0000000000000000,5883.3333333333333333,5908.387322710559
Jawa Tengah,2023-05-05,4850.0000000000000000,5975,5680.7692307692307692,5688.303564079348
Jawa Tengah,2023-05-06,5800.0000000000000000,5850.0000000000000000,5825.7575757575757576,5821.193054084085
Jawa Tengah,2023-05-08,4850.0000000000000000,5850.0000000000000000,5770.5882352941176471,5756.474160856753
Jawa Tengah,2023-05-09,5700.0000000000000000,5850.0000000000000000,5823.1481481481481481,5829.53256442465
Jawa Tengah,2023-05-10,5800.0000000000000000,5850.0000000000000000,5829.5454545454545455,5827.59143496921
Jawa Tengah,2023-05-11,5800.0000000000000000,5850.0000000000000000,5827.2727272727272727,5825.536231884058
Jawa Tengah,2023-05-12,5825.0000000000000000,5850.0000000000000000,5829.7297297297297297,5829.876005841757
Jawa Tengah,2023-05-13,5825.0000000000000000,5850.0000000000000000,5829.3478260869565217,5829.379165288085
Jawa Tengah,2023-05-14,5825.0000000000000000,5850.0000000000000000,5829.1666666666666667,5831.234552644587
Jawa Tengah,2023-05-15,5825.0000000000000000,5850.0000000000000000,5832.5000000000000000,5831.055665540934
Jawa Tengah,2023-05-16,5800.0000000000000000,5850.0000000000000000,5835.0000000000000000,5825.089065497396
Jawa Tengah,2023-05-17,5825.0000000000000000,5850.0000000000000000,5830.0000000000000000,5830.4994320516225
Jawa Tengah,2023-05-18,5825.0000000000000000,5850.0000000000000000,5832.5000000000000000,5832.257977576542
Jawa Tengah,2023-05-19,5825.0000000000000000,5850.0000000000000000,5833.1355932203389831,5832.689834326406
Jawa Tengah,2023-05-20,5800.0000000000000000,5850.0000000000000000,5831.4473684210526316,5827.917763327657
Jawa Tengah,2023-05-22,5800.0000000000000000,6000.0000000000000000,5847.7419354838709677,5852.521792120393
Jawa Tengah,2023-05-23,5750.0000000000000000,5850.0000000000000000,5815.8333333333333333,5813.917483905902
Jawa Tengah,2023-05-24,5600.0000000000000000,5850.0000000000000000,5743.8636363636363636,5733.46071071071
